feature,importance,backend
GHI_phys_target,20.50111835357037,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_forecast_proxy,11.317454459182905,sklearn_hist_gradient_boosting_fallback
target_GHI_clear,9.685913116924112,sklearn_hist_gradient_boosting_fallback
ghi_issue,6.7160594254851915,sklearn_hist_gradient_boosting_fallback
target_solar_azimuth,1.9455055883380652,sklearn_hist_gradient_boosting_fallback
issue_clear_sky_ghi,1.937338483483643,sklearn_hist_gradient_boosting_fallback
irradiance_source_std,1.8757618972082284,sklearn_hist_gradient_boosting_fallback
target_solar_zenith,1.421925829636173,sklearn_hist_gradient_boosting_fallback
ghi_lag_3,0.7718868202382936,sklearn_hist_gradient_boosting_fallback
satellite_ssi_lag_1,0.6986287145539052,sklearn_hist_gradient_boosting_fallback
satellite_clear_sky_index_issue,0.3586003929310948,sklearn_hist_gradient_boosting_fallback
clear_sky_index_lag_1,0.23026982877667024,sklearn_hist_gradient_boosting_fallback
ghi_lag_2,0.21780753996330304,sklearn_hist_gradient_boosting_fallback
cloud_cover_lag_1,0.14827847027588348,sklearn_hist_gradient_boosting_fallback
target_solar_elevation,0.1452045295175708,sklearn_hist_gradient_boosting_fallback
cloud_cover_issue,0.10320712532653431,sklearn_hist_gradient_boosting_fallback
satellite_ssi_trend,0.0709683644075838,sklearn_hist_gradient_boosting_fallback
satellite_ssi_issue,0.050567672886593584,sklearn_hist_gradient_boosting_fallback
target_air_mass,0.036693631017257644,sklearn_hist_gradient_boosting_fallback
target_DHI_clear,0.008043066080588801,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_mid_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_low_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_high_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_temperature_2m_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_relative_humidity_2m_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_wind_speed_10m_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_precipitation_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
site_id,0.0,sklearn_hist_gradient_boosting_fallback
satellite_data_available,0.0,sklearn_hist_gradient_boosting_fallback
target_cos_zenith,0.0,sklearn_hist_gradient_boosting_fallback
number_of_available_irradiance_sources,0.0,sklearn_hist_gradient_boosting_fallback
latitude,0.0,sklearn_hist_gradient_boosting_fallback
best_satellite_source,0.0,sklearn_hist_gradient_boosting_fallback
quality_flag,0.0,sklearn_hist_gradient_boosting_fallback
longitude,0.0,sklearn_hist_gradient_boosting_fallback
horizon_minutes,0.0,sklearn_hist_gradient_boosting_fallback
cloud_cover_lag_3,-0.017436871305179125,sklearn_hist_gradient_boosting_fallback
clear_sky_index_lag_2,-0.018553894964526307,sklearn_hist_gradient_boosting_fallback
cloud_cover_trend,-0.026684724139037996,sklearn_hist_gradient_boosting_fallback
ghi_lag_1,-0.03658326231906983,sklearn_hist_gradient_boosting_fallback
target_DNI_clear,-0.1155881413693578,sklearn_hist_gradient_boosting_fallback
