feature,importance,backend
GHI_phys_target,33.93963489580212,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_forecast_proxy,21.142299190338868,sklearn_hist_gradient_boosting_fallback
target_GHI_clear,17.992825476766228,sklearn_hist_gradient_boosting_fallback
target_solar_zenith,10.76951547561675,sklearn_hist_gradient_boosting_fallback
target_solar_azimuth,9.513387319169446,sklearn_hist_gradient_boosting_fallback
cloud_cover_issue,2.0135806909665774,sklearn_hist_gradient_boosting_fallback
cloud_cover_lag_3,1.8663875523551425,sklearn_hist_gradient_boosting_fallback
cloud_cover_lag_1,1.616233314876105,sklearn_hist_gradient_boosting_fallback
issue_clear_sky_ghi,1.0001785003999473,sklearn_hist_gradient_boosting_fallback
target_solar_elevation,0.8376792642171864,sklearn_hist_gradient_boosting_fallback
target_DNI_clear,0.6448174598958261,sklearn_hist_gradient_boosting_fallback
ghi_lag_2,0.26715209141505625,sklearn_hist_gradient_boosting_fallback
target_DHI_clear,0.20922281088746075,sklearn_hist_gradient_boosting_fallback
satellite_ssi_issue,0.164330886161288,sklearn_hist_gradient_boosting_fallback
target_air_mass,0.13671920197693055,sklearn_hist_gradient_boosting_fallback
ghi_lag_1,0.11702251201571556,sklearn_hist_gradient_boosting_fallback
satellite_ssi_trend,0.06982992487552764,sklearn_hist_gradient_boosting_fallback
clear_sky_index_lag_2,0.06548871705566484,sklearn_hist_gradient_boosting_fallback
clear_sky_index_lag_1,0.053289623496795,sklearn_hist_gradient_boosting_fallback
satellite_clear_sky_index_issue,0.023188370218527155,sklearn_hist_gradient_boosting_fallback
satellite_ssi_lag_1,0.018045027949327164,sklearn_hist_gradient_boosting_fallback
ghi_issue,0.01030409280468092,sklearn_hist_gradient_boosting_fallback
target_wind_speed_10m_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_precipitation_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_high_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_low_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_mid_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_temperature_2m_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_relative_humidity_2m_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
site_id,0.0,sklearn_hist_gradient_boosting_fallback
satellite_data_available,0.0,sklearn_hist_gradient_boosting_fallback
target_cos_zenith,0.0,sklearn_hist_gradient_boosting_fallback
number_of_available_irradiance_sources,0.0,sklearn_hist_gradient_boosting_fallback
irradiance_source_std,0.0,sklearn_hist_gradient_boosting_fallback
latitude,0.0,sklearn_hist_gradient_boosting_fallback
best_satellite_source,0.0,sklearn_hist_gradient_boosting_fallback
quality_flag,0.0,sklearn_hist_gradient_boosting_fallback
longitude,0.0,sklearn_hist_gradient_boosting_fallback
horizon_minutes,0.0,sklearn_hist_gradient_boosting_fallback
cloud_cover_trend,-0.006876780535890248,sklearn_hist_gradient_boosting_fallback
ghi_lag_3,-0.018465910379788397,sklearn_hist_gradient_boosting_fallback
