feature,importance,backend
GHI_phys_target,72.7749813853931,sklearn_hist_gradient_boosting_fallback
ghi_issue,48.888838313116466,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_forecast_proxy,9.710334683190972,sklearn_hist_gradient_boosting_fallback
target_GHI_clear,7.572103612574395,sklearn_hist_gradient_boosting_fallback
clear_sky_index_lag_1,5.513680228694071,sklearn_hist_gradient_boosting_fallback
satellite_ssi_trend,4.052934057065546,sklearn_hist_gradient_boosting_fallback
satellite_clear_sky_index_issue,2.9019530461315526,sklearn_hist_gradient_boosting_fallback
issue_clear_sky_ghi,1.5204778243229384,sklearn_hist_gradient_boosting_fallback
target_solar_azimuth,1.5153318440743782,sklearn_hist_gradient_boosting_fallback
satellite_ssi_issue,1.363623671857713,sklearn_hist_gradient_boosting_fallback
irradiance_source_std,0.639470027364812,sklearn_hist_gradient_boosting_fallback
cloud_cover_issue,0.35556283152217105,sklearn_hist_gradient_boosting_fallback
cloud_cover_trend,0.30362283948854696,sklearn_hist_gradient_boosting_fallback
ghi_lag_3,0.21854754362815143,sklearn_hist_gradient_boosting_fallback
target_DNI_clear,0.15311980371852485,sklearn_hist_gradient_boosting_fallback
satellite_ssi_lag_1,0.12890986361906087,sklearn_hist_gradient_boosting_fallback
clear_sky_index_lag_2,0.11668128944107536,sklearn_hist_gradient_boosting_fallback
target_DHI_clear,0.1097384215099737,sklearn_hist_gradient_boosting_fallback
target_solar_zenith,0.0654502121984386,sklearn_hist_gradient_boosting_fallback
target_air_mass,0.0631610087221759,sklearn_hist_gradient_boosting_fallback
cloud_cover_lag_1,0.028633431670904486,sklearn_hist_gradient_boosting_fallback
cloud_cover_lag_3,0.017068763091515393,sklearn_hist_gradient_boosting_fallback
target_solar_elevation,0.012267633541309664,sklearn_hist_gradient_boosting_fallback
ghi_lag_1,0.007537652805424955,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_low_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_relative_humidity_2m_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_temperature_2m_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_high_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_wind_speed_10m_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_mid_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_precipitation_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
site_id,0.0,sklearn_hist_gradient_boosting_fallback
satellite_data_available,0.0,sklearn_hist_gradient_boosting_fallback
target_cos_zenith,0.0,sklearn_hist_gradient_boosting_fallback
number_of_available_irradiance_sources,0.0,sklearn_hist_gradient_boosting_fallback
latitude,0.0,sklearn_hist_gradient_boosting_fallback
best_satellite_source,0.0,sklearn_hist_gradient_boosting_fallback
quality_flag,0.0,sklearn_hist_gradient_boosting_fallback
longitude,0.0,sklearn_hist_gradient_boosting_fallback
horizon_minutes,0.0,sklearn_hist_gradient_boosting_fallback
ghi_lag_2,-0.018360749212149585,sklearn_hist_gradient_boosting_fallback
