feature,importance,backend
GHI_phys_target,29.404352909902364,sklearn_hist_gradient_boosting_fallback
target_GHI_clear,22.425994281961437,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_forecast_proxy,11.085092673601174,sklearn_hist_gradient_boosting_fallback
satellite_clear_sky_index_issue,3.5946477353451414,sklearn_hist_gradient_boosting_fallback
target_solar_zenith,3.0285297875923405,sklearn_hist_gradient_boosting_fallback
satellite_ssi_trend,2.9560056822408285,sklearn_hist_gradient_boosting_fallback
issue_clear_sky_ghi,2.677897223020892,sklearn_hist_gradient_boosting_fallback
cloud_cover_issue,1.6609091985398976,sklearn_hist_gradient_boosting_fallback
target_solar_azimuth,1.2819277275617011,sklearn_hist_gradient_boosting_fallback
target_DNI_clear,0.6716243678918516,sklearn_hist_gradient_boosting_fallback
satellite_ssi_issue,0.5145341516092543,sklearn_hist_gradient_boosting_fallback
clear_sky_index_lag_1,0.3596207000225178,sklearn_hist_gradient_boosting_fallback
irradiance_source_std,0.3281455148135848,sklearn_hist_gradient_boosting_fallback
target_solar_elevation,0.29654325335727805,sklearn_hist_gradient_boosting_fallback
clear_sky_index_lag_2,0.19372585029498168,sklearn_hist_gradient_boosting_fallback
satellite_ssi_lag_1,0.15320075820245904,sklearn_hist_gradient_boosting_fallback
ghi_issue,0.10369790626315023,sklearn_hist_gradient_boosting_fallback
target_air_mass,0.08908169534684163,sklearn_hist_gradient_boosting_fallback
cloud_cover_lag_3,0.08415625967326434,sklearn_hist_gradient_boosting_fallback
ghi_lag_2,0.06925191632421246,sklearn_hist_gradient_boosting_fallback
ghi_lag_1,0.06498669762410714,sklearn_hist_gradient_boosting_fallback
target_DHI_clear,0.05130655947398566,sklearn_hist_gradient_boosting_fallback
ghi_lag_3,0.02916993777314758,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_mid_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_high_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_temperature_2m_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_relative_humidity_2m_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_low_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_wind_speed_10m_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_precipitation_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
site_id,0.0,sklearn_hist_gradient_boosting_fallback
satellite_data_available,0.0,sklearn_hist_gradient_boosting_fallback
target_cos_zenith,0.0,sklearn_hist_gradient_boosting_fallback
number_of_available_irradiance_sources,0.0,sklearn_hist_gradient_boosting_fallback
latitude,0.0,sklearn_hist_gradient_boosting_fallback
best_satellite_source,0.0,sklearn_hist_gradient_boosting_fallback
quality_flag,0.0,sklearn_hist_gradient_boosting_fallback
longitude,0.0,sklearn_hist_gradient_boosting_fallback
horizon_minutes,0.0,sklearn_hist_gradient_boosting_fallback
cloud_cover_trend,-0.025918239119100406,sklearn_hist_gradient_boosting_fallback
cloud_cover_lag_1,-0.03250405819505886,sklearn_hist_gradient_boosting_fallback
