rank_position,rank_grade,site_id,site_score,expected_daily_energy,peak_PV_P50,mean_uncertainty_width,cloud_risk,forecast_volatility,data_quality,normalized_energy,confidence_score,data_quality_score,normalized_cloud_risk,normalized_volatility,ranking_horizon_minutes
1,C,munich_centre,0.49000000000000005,0.09267717834080395,0.09267717834080395,0.15985374609108619,0.6,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6,0.0,60
2,D,munich_east,0.24305659632343207,0.0701259385113003,0.0701259385113003,0.13104028140520663,0.6,0.0,0.6666666666666666,0.01132934010311425,0.9897919663851532,0.6666666666666666,0.6,0.0,60
3,D,munich_north,0.24215682829209423,0.07005934053116257,0.07005934053116257,0.1309800065098907,0.6,0.0,0.6666666666666666,0.008409612874439533,0.9918625124929822,0.6666666666666666,0.6,0.0,60
4,D,munich_west,0.241284575275097,0.06993263285355734,0.06993263285355733,0.1307431191468102,0.6,0.0,0.6666666666666666,0.0028546117224377953,1.0,0.6666666666666666,0.6,0.0,60
5,D,munich_south,0.16670139531056183,0.06986752013586071,0.06986752013586071,0.14141196083006116,0.6,0.0,0.6666666666666666,0.0,0.6335069765528091,0.6666666666666666,0.6,0.0,60
