rank_position,rank_grade,site_id,site_score,expected_daily_energy,peak_PV_P50,mean_uncertainty_width,cloud_risk,forecast_volatility,data_quality,normalized_energy,confidence_score,data_quality_score,normalized_cloud_risk,normalized_volatility,ranking_horizon_minutes
1,C,munich_east,0.5499749526753794,5.988316721657233,0.7062398591582427,0.25953554309738247,0.0,0.058853321596520215,1.0,0.9881852272108425,0.19551681700734513,1.0,0.0,0.8381176297096867,60
2,C,munich_north,0.5435264018879571,5.9909449174312535,0.7066203351319094,0.25970740290260125,0.0,0.05888502792765912,1.0,0.9982971236363405,0.15516459990736298,1.0,0.0,0.8674022372986876,60
3,C,munich_west,0.5157799649249145,5.985582752747248,0.7069562818041953,0.260045500341582,0.0,0.05891302348368296,1.0,0.9776663721386384,0.07578023634816522,1.0,0.0,0.8932594980710585,60
4,C,munich_south,0.5,5.991387514178127,0.7083430921371555,0.26036824782844153,0.0,0.059028591011429626,1.0,1.0,0.0,1.0,0.0,1.0,60
5,D,munich_centre,0.3307083333333333,5.731476250906737,0.6953507386452894,0.25610925495097575,0.1929166666666667,0.05794589488710744,1.0,0.0,1.0,1.0,0.1929166666666667,0.0,60
